"Labor Force and Unemployment Data"

"Geographic Area:","State"
"Area","Massachusetts"
"Time Frame:","2026, 2025, 2024, 2023, 2022, 2021, 2020"
"Not Seasonally Adjusted"
"Year","Month","Working Age Population","Labor Force","Employed","Unemployed","Massachusetts Unemployment Rate","Massachusetts Laborforce Participation Rate","National Unemployment Rate","National Laborforce Participation Rate"
"2026","January","5932326","3885067","3681852","203215","5.2","65.5","4.7","61.7"
"2025","January","5920901","3944800","3764870","179930","4.6","66.6","4.4","62.3"
"2025","February","5921756","3937969","3750807","187162","4.8","66.5","4.5","62.3"
"2025","March","5922754","3946722","3768182","178540","4.5","66.6","4.2","62.5"
"2025","April","5924006","3942249","3783361","158888","4.0","66.5","3.9","62.5"
"2025","May","5925864","3933059","3760818","172241","4.4","66.4","4.0","62.3"
"2025","June","5927919","3977527","3799721","177806","4.5","67.1","4.4","62.6"
"2025","July","5930091","3992064","3804576","187488","4.7","67.3","4.6","62.7"
"2025","August","5930877","3981036","3797879","183157","4.6","67.1","4.5","62.4"
"2025","September","5931743","3917794","3746502","171292","4.4","66.0","4.3","62.4"
"2025","October","0","0","0","0","0.0","0.0","0.0","0.0"
"2025","November","5932751","3912548","3731366","181182","4.6","65.9","4.3","62.4"
"2025","December","5932673","3900398","3720408","179990","4.6","65.7","4.1","62.1"
"2024","January","5876197","3865739","3706498","159241","4.1","65.8","4.1","62.2"
"2024","February","5880857","3877308","3711404","165904","4.3","65.9","4.2","62.5"
"2024","March","5886104","3909315","3754180","155135","4.0","66.4","3.9","62.7"
"2024","April","5891406","3887242","3754260","132982","3.4","66.0","3.5","62.5"
"2024","May","5897007","3895064","3745045","150019","3.9","66.1","3.7","62.5"
"2024","June","5902817","3969927","3805267","164660","4.1","67.3","4.3","63.0"
"2024","July","5908634","3986348","3808237","178111","4.5","67.5","4.5","63.2"
"2024","August","5911081","3969021","3799257","169764","4.3","67.1","4.4","62.8"
"2024","September","5913617","3905337","3761105","144232","3.7","66.0","3.9","62.6"
"2024","October","5915987","3924245","3775488","148757","3.8","66.3","3.9","62.6"
"2024","November","5918000","3924167","3774587","149580","3.8","66.3","4.0","62.4"
"2024","December","5919665","3932334","3777287","155047","3.9","66.4","3.8","62.2"
"2024","Annual","5901781","3920504","3764385","156119","4.0","66.4","",""
"2023","January","5816981","3781491","3631831","149660","4.0","65.0","3.9","62.1"
"2023","February","5820704","3793657","3640502","153155","4.0","65.2","3.9","62.4"
"2023","March","5824791","3797110","3658433","138677","3.7","65.2","3.6","62.6"
"2023","April","5829009","3775707","3669322","106385","2.8","64.8","3.1","62.4"
"2023","May","5833312","3782593","3657764","124829","3.3","64.8","3.4","62.5"
"2023","June","5837952","3844429","3707884","136545","3.6","65.9","3.8","62.9"
"2023","July","5842940","3865927","3727001","138926","3.6","66.2","3.8","63.1"
"2023","August","5848983","3873094","3733925","139169","3.6","66.2","3.9","62.9"
"2023","September","5855124","3816873","3693968","122905","3.2","65.2","3.6","62.7"
"2023","October","5861052","3841531","3713200","128331","3.3","65.5","3.6","62.7"
"2023","November","5866399","3863346","3738685","124661","3.2","65.9","3.5","62.7"
"2023","December","5871545","3853998","3716172","137826","3.6","65.6","3.5","62.2"
"2023","Annual","5842399","3824146","3690724","133422","3.5","65.5","",""
"2022","January","5773695","3757972","3592599","165373","4.4","65.1","4.4","61.9"
"2022","February","5774635","3773567","3615317","158250","4.2","65.3","4.1","62.2"
"2022","March","5776895","3785793","3642855","142938","3.8","65.5","3.8","62.4"
"2022","April","5780068","3748734","3626647","122087","3.3","64.9","3.3","62.0"
"2022","May","5783792","3763471","3630628","132843","3.5","65.1","3.4","62.3"
"2022","June","5787510","3822141","3676372","145769","3.8","66.0","3.8","62.5"
"2022","July","5791545","3833128","3684597","148531","3.9","66.2","3.8","62.6"
"2022","August","5796173","3831803","3683018","148785","3.9","66.1","3.8","62.4"
"2022","September","5801004","3756699","3631923","124776","3.3","64.8","3.3","62.2"
"2022","October","5805616","3773499","3646909","126590","3.4","65.0","3.4","62.3"
"2022","November","5809652","3761076","3640437","120639","3.2","64.7","3.4","62.1"
"2022","December","5813549","3763911","3639367","124544","3.3","64.7","3.3","62.0"
"2022","Annual","5791178","3780983","3642556","138427","3.7","65.3","",""
"2021","January","5738184","3713418","3444582","268836","7.2","64.7","6.8","61.0"
"2021","February","5739413","3713278","3457308","255970","6.9","64.7","6.6","61.3"
"2021","March","5742219","3721034","3485795","235239","6.3","64.8","6.2","61.5"
"2021","April","5745887","3717799","3509938","207861","5.6","64.7","5.7","61.4"
"2021","May","5749547","3723348","3521245","202103","5.4","64.8","5.5","61.5"
"2021","June","5753363","3784887","3562904","221983","5.9","65.8","6.1","62.1"
"2021","July","5757571","3804318","3592399","211919","5.6","66.1","5.7","62.3"
"2021","August","5761300","3789467","3595896","193571","5.1","65.8","5.3","61.8"
"2021","September","5764199","3716967","3552637","164330","4.4","64.5","4.6","61.7"
"2021","October","5766891","3744006","3588732","155274","4.1","64.9","4.3","61.8"
"2021","November","5769301","3761033","3623176","137857","3.7","65.2","3.9","61.9"
"2021","December","5771749","3749988","3615841","134147","3.6","65.0","3.7","61.7"
"2021","Annual","5754969","3744962","3545871","199091","5.3","65.1","",""
"2020","January","5738725","3822298","3687365","134933","3.5","66.6","4.0","63.0"
"2020","February","5739545","3822971","3693865","129106","3.4","66.6","3.8","63.3"
"2020","March","5740851","3774376","3632132","142244","3.8","65.7","4.5","62.6"
"2020","April","5743173","3486691","2886394","600297","17.2","60.7","14.4","60.0"
"2020","May","5732077","3610575","3088009","522566","14.5","63.0","13.0","60.7"
"2020","June","5721953","3811204","3250834","560370","14.7","66.6","11.2","61.8"
"2020","July","5712367","3810212","3320795","489417","12.8","66.7","10.5","62.0"
"2020","August","5715721","3793921","3407655","386266","10.2","66.4","8.5","61.8"
"2020","September","5719100","3744805","3389633","355172","9.5","65.5","7.7","61.4"
"2020","October","5722738","3763184","3464502","298682","7.9","65.8","6.6","61.7"
"2020","November","5725681","3740545","3466379","274166","7.3","65.3","6.4","61.5"
"2020","December","5727741","3731316","3461950","269366","7.2","65.1","6.5","61.3"
"2020","Annual","5728306","3742675","3395793","346882","9.3","65.3","",""

"The labor force estimates for towns with 2010 Census population of less than 1,000 were produced using the BLS methodology, but are not official BLS estimates."

"This workforce product was funded by a grant awarded by the U.S. Department of Labor's Employment and Training Administration. The product was created by the recipient and does not necessarily reflect the official position of the U.S. Department of Labor. The Department of Labor makes no guarantees, warranties, or assurances of any kind, express or implied, with respect to such information, including any information on linked sites and including, but not limited to, accuracy of the information or its completeness, timeliness, usefulness, adequacy, continued availability, or ownership. This product is copyrighted by the institution that created it. Internal use by an organization and/or personal use by an individual for non-commercial purposes is permissible. All other uses require the prior authorization of the copyright owner."
"The Federal Government reserves a paid-up, nonexclusive and irrevocable license to reproduce, publish or otherwise use, and to authorize others to use for federal purposes: i) the copyright in all products developed under the grant, including a subgrant or contract under the grant or subgrant; and ii) any rights of copyright to which the recipient, subrecipient or a contractor purchases ownership under an award (including but not limited to curricula, training models, technical assistance products, and any related materials). Such uses include, but are not limited to, the right to modify and distribute such products worldwide by any means, electronically or otherwise. Federal funds may not be used to pay any royalty or license fee for use of a copyrighted work, or the cost of acquiring by purchase a copyright in a work, where the Department has a license or rights of free use in such work, although they may be used to pay costs for obtaining a copy which is limited to the developer/seller costs of copying and shipping. If revenues are generated through selling products developed with grant funds, including intellectual property, these revenues are program income. Program income must be used in accordance with the provisions of this grant award and 2 CFR 200.307."
